;;X long; Y lat;siren;nom;PLCI norme;plci;Nom de l'Entreprise 
;;5,889859;45,27347;72500739;2316;0.177705390304541;1.56351965766248;CARATELLI
;;5,878468;45,278061;193827813;2428;0.177705390304541;1.56351965766248;COLLEGE SIMONE DE BEAUVOIR
;;5,885053;45,264365;321561334;2580;0.177705390304541;1.56351965766248;ECTRA
;;5,888335;45,26781;349273045;2656;0.177705390304541;1.56351965766248;MICRO-TECHNIC
;;5,889966;45,27603;387808595;2705;0.177705390304541;1.56351965766248;GEOLITHE
;;5,885948;45,273327;410698096;2755;0.177705390304541;1.56351965766248;C.DIS
;;5,887545;45,269713;412152019;2759;0.177705390304541;1.56351965766248;TRONIC'S MICROSYSTEMS
;;5,889038;45,274392;482645058;2885;0.177705390304541;1.56351965766248;VFD
;;5,888769;45,269386;332989953;3278;0.177705390304541;1.56351965766248;ATRAL SECURITY
;;;;388381642;3623;0.177705390304541;1.56351965766248;PETZL DISTRIBUTION
;;5,890294;45,268827;341459386;3724;0.177705390304541;1.56351965766248;STMICROELECTRONICS FRANCE
;;5,890294;45,268827;399395581;3736;0.177705390304541;1.56351965766248;STMICROELECTRONICS (CROLLES 2) SAS
;;;;56501612;15;0.176290341631932;1.55897298742979;IMPRIMERIE NOTRE-DAME MARTIN PERE FILS
;;5,797814;45,224448;263810061;370;0.176290341631932;1.55897298742979;CENTRE COMMUNAL D'ACTION SOCIALE
;;5,808493;45,219078;343059564;697;0.176290341631932;1.55897298742979;SOCIETE FRANCAISE DU RADIOTELEPHONE - S.F.R
;;5,81422;45,218094;347945628;749;0.176290341631932;1.55897298742979;XL SA
;;5,819854;45,222534;348418906;754;0.176290341631932;1.55897298742979;SOCIETE ALPINE DE SECURITE INCENDIE ET DE CONSEIL
;;5,804572;45,217117;349036103;764;0.176290341631932;1.55897298742979;KEOLABS
;;5,808426;45,219321;356000000;843;0.176290341631932;1.55897298742979;LA POSTE
;;5,813511;45,217038;380927475;898;0.176290341631932;1.55897298742979;ETIC TELECOM
;;5,815591;45,217421;398327171;1026;0.176290341631932;1.55897298742979;ASSOC COMITES CREATION EMPLOIS
;;5,813168026;45,21673597;402447726;1066;0.176290341631932;1.55897298742979;NUMANS DAUPHINE-SAVOIES
;;;;414876177;1154;0.176290341631932;1.55897298742979;MAINCARE SOLUTIONS
;;5,811606;45,216308;434559274;1280;0.176290341631932;1.55897298742979;TECHNIDATA FRANCE
;;5,808217;45,219306;440743763;1326;0.176290341631932;1.55897298742979;LEADFORMANCE
;;5,806458;45,216881;452156102;1395;0.176290341631932;1.55897298742979;ASCANIO
;;;;481413961;1439;0.176290341631932;1.55897298742979;INSIGHT OUTSIDE
;;5,808337;45,214564;484806534;1454;0.176290341631932;1.55897298742979;SILVACO FRANCE
;;5,815591;45,217421;499356186;1527;0.176290341631932;1.55897298742979;O2 GRESIVAUDAN
;;5,816507;45,221315;501907067;1551;0.176290341631932;1.55897298742979;EUROVITRAGE GRENOBLE
;;5,813168;45,216736;503271926;1558;0.176290341631932;1.55897298742979;X MEDICAL PICTURE
;;5,819029;45,222368;504089343;1565;0.176290341631932;1.55897298742979;BERTIN ALPAO
;;5,813168;45,216736;509624482;1589;0.176290341631932;1.55897298742979;ATM GROUP ACCUEIL
;;5,818205;45,222304;509675039;1591;0.176290341631932;1.55897298742979;EVEON
;;5,808337;45,214564;528211923;1660;0.176290341631932;1.55897298742979;PING IDENTITY FRANCE SAS
;;5,807557;45,21409;542001193;1714;0.176290341631932;1.55897298742979;SONOVISION
;;5,81007;45,217031;662042449;1763;0.176290341631932;1.55897298742979;BNP PARIBAS
;;5,813168;45,216736;750963928;1810;0.176290341631932;1.55897298742979;RUI & CANDEIAS, LDA
;;5,81422;45,218094;810785055;2054;0.176290341631932;1.55897298742979;DEJBOX SERVICES
;;5,805095;45,216331;813731262;2066;0.176290341631932;1.55897298742979;ENLAPS
;;5,806063;45,21484;824154926;2100;0.176290341631932;1.55897298742979;REMEDEE LABS
;;5,805095;45,216331;824424451;2104;0.176290341631932;1.55897298742979;CIRCLE ANATOSCOPE INTUITIVE DESIGN
