seed;N;num_neigh_seeds;num_adopters;PLci;PLci_norm;degree;betweenness;eigen;percolation
2992;3739;2;3739;1.90719443701524;0.28466642232228;498;2201.01129394684;0.0499247868971166;0
2993;3739;2;3739;1.56806632789516;0.179120438977149;3397;255.22261184438;0.810322810045053;0
2994;3739;2;3;1.13708399366086;0.0449868975577555;2776;3724.40210782586;0.661722984113603;0
2995;3739;2;3739;1.41749130783632;0.132257356466653;2776;3724.40210782586;0.661722984113603;0
2996;3739;2;3739;1.48649371489703;0.153732801027413;2082;4615.05185943085;0.473052280833403;0
2997;3739;2;3739;1.48515645894624;0.153316610241352;1982;2509.66311865643;0.4647972751116;0
2998;3739;2;3739;1.86065792992779;0.270182982967349;2533;2991.31853554469;0.544949916906248;0
2999;3739;2;3739;1.48916822679861;0.154565182599536;2193;3858.49535942899;0.483061573135628;0
3000;3739;2;3739;1.48221449585451;0.152400990512017;2615;7009.47448344959;0.534987241921778;0
3001;3739;2;3739;1.56860123027547;0.179286915291573;1896;3293.34579003418;0.414035453064122;0
3002;3739;2;3739;1.48167959347419;0.152234514197593;2616;6948.48702166424;0.534707132366004;0
3003;3739;2;3739;1.48890077560845;0.154481944442323;3991;378.45463589055;0.941684579413788;0
3004;3739;2;3739;1.52901845413212;0.166967668024161;3841;1248.60282265308;0.895911557017836;0
3005;3739;2;3739;1.47793527681198;0.151069179996621;2201;1268.15593360282;0.49781910197801;0
3006;3739;2;3739;1.41749130783632;0.132257356466653;2737;1664.09345299968;0.658559949202125;0
3007;3739;2;3739;1.96951056432201;0.304060912952734;181;841.481986930548;0.0156883346745564;17640
3008;3739;2;3739;1.41749130783632;0.132257356466653;4190;2834.7680423454;0.965531126827301;0
3009;3739;2;3739;1.94731211553891;0.297152145904117;259;1704.79331888521;0.0245898195929537;36636
3010;3739;2;3739;1.41749130783632;0.132257356466653;2855;989.173884796722;0.672511628577578;0
3011;3739;2;3739;1.82642417758759;0.259528498844181;2753;6903.62817837181;0.560741388840211;0
3012;3739;2;3739;1.41749130783632;0.132257356466653;4258;1352.07582588908;1;0
3013;3739;2;3739;1.99063920834448;0.310636727372502;2114;5815.00673077421;0.45986045546037;0
3014;3739;2;3739;2.00909334046537;0.316380160220147;2173;4722.22336047827;0.496385445524279;0
3015;3739;2;3739;1.99063920834448;0.310636727372502;718;4768.12750233684;0.0687570690249982;0
3016;3739;2;3739;1.8301684942498;0.260693833045153;915;4903.05031661291;0.0967356121413691;0
3017;3739;2;3739;1.52794864937149;0.166634715395312;3845;1441.24360222064;0.896318255909627;0
3018;3739;2;3739;1.93902112864402;0.294571763030538;2412;3194.98061539248;0.520182529804044;0
3019;3739;2;3739;1.41749130783632;0.132257356466653;2814;2250.44111246404;0.665787453436512;0
3020;3739;2;3739;1.48622626370687;0.153649562870201;2040;1664.67002569191;0.470271509043182;0
3021;3739;2;3739;1.97378978336454;0.30539272346813;255;27.5886188759439;0.0221147736035486;0
3022;3739;2;3739;1.41749130783632;0.132257356466653;3335;7893.36041980894;0.718487358973655;0
3023;3739;2;3739;1.46884193634662;0.148239082651405;2160;1476.66199132409;0.505142058052961;0
3024;3739;2;3739;1.48221449585451;0.152400990512017;4016;782.297973881454;0.945658023831029;0
3025;3739;2;3739;1.56672907194437;0.178704248191088;3700;178.398684711534;0.87378332807917;0
3026;3739;2;3739;1.859320673977;0.269766792181288;739;4742.13514366457;0.112578053581032;0
3027;3739;2;3739;1.48943567798877;0.154648420756748;3989;227.304260729438;0.941366088453083;0
3028;3739;2;3739;1.41749130783632;0.132257356466653;4258;1352.07582588908;1;0
3029;3739;2;3;2.62887012464817;0.509271720612429;2454;2203.32855556112;0.528296830413853;0
3030;3739;2;3739;1.90157796202193;0.282918421020823;2490;2477.79515578023;0.532281788515912;0
3031;3739;2;3739;1.53196041722386;0.167883287753495;3830;1139.37570655909;0.894200384930131;0
3032;3739;2;3739;1.47766782562182;0.150985941839409;4033;852.955986088885;0.948564770283444;0
3033;3739;2;3739;1.46884193634662;0.148239082651405;4066;1280.48385677905;0.954217316517906;0
3034;3739;2;3739;1.48622626370687;0.153649562870201;2569;6536.66738523884;0.525399019402013;0
3035;3739;2;3;1.89312406576981;0.280287336280182;785;4196.46056723972;0.0804652149078205;0
3036;3739;2;3739;1.96683605242043;0.303228531380612;2184;3536.23898517035;0.468930210139023;0
3037;3739;2;3739;1.48167959347419;0.152234514197593;2037;1430.98585896338;0.475719862243719;0
3038;3739;2;3;1.08679245283019;0.0293347885518488;2925;5464.11699800535;0.676211608766712;0
3039;3739;2;3739;1.48515645894624;0.153316610241352;2234;4458.21597350851;0.490944222123602;0
3040;3739;2;3739;1.41749130783632;0.132257356466653;2925;5464.11699800535;0.676211608766712;0
3041;3739;2;3739;1.53410002674512;0.168549193011193;3822;844.279488980624;0.892991062098113;0
3042;3739;2;3739;1.47766782562182;0.150985941839409;2684;7190.68964021759;0.551196614251885;0
3043;3739;2;3739;1.48515645894624;0.153316610241352;4005;811.873314535722;0.943836705269906;0
3044;3739;2;3739;1.88232147633057;0.276925273701541;2340;2402.89115651979;0.484563525949725;0
3045;3739;2;3739;1.85798341802621;0.269350601395226;640;1572.59167987262;0.103543910145338;0
3046;3739;2;3739;1.88232147633057;0.276925273701541;886;696.07864342275;0.125120724496534;0
3047;3739;2;3739;1.82642417758759;0.259528498844181;2753;6903.62817837181;0.56074138884021;0
3048;3739;2;3739;1.48916822679861;0.154565182599536;3990;457.384647876292;0.941510600735249;0
3049;3739;2;3739;1.56806632789516;0.179120438977149;3695;125.897973184046;0.872847017988903;0
3050;3739;2;3739;1.56565926718374;0.178371295562239;3704;402.083997503155;0.874065299714919;0
3051;3739;2;3739;1.93902112864402;0.294571763030538;389;1232.80251240745;0.0378458953359227;0
3052;3739;2;3739;1.93902112864402;0.294571763030538;948;4723.07113030399;0.094610270195975;0
3053;3739;2;3739;1.51778550414549;0.163471665421246;1918;1471.00974202844;0.437277008398656;0
3054;3739;2;3739;1.90826424177588;0.284999374951129;2436;2147.93203973226;0.526239104523246;0
3055;3739;2;3;1.18326359832636;0.059359259074931;4032;1042.30209305074;0.948253708746091;0
3056;3739;2;3;2.6183945139169;0.506011422789753;2483;2425.63521813084;0.530135251253866;0
3057;3739;2;3739;1.41749130783632;0.132257356466653;2776;3724.40210782586;0.661722984113603;0
3058;3739;2;3739;1.41749130783632;0.132257356466653;2776;3724.40210782586;0.661722984113603;0
3059;3739;2;3739;1.47766782562182;0.150985941839409;4033;852.955986088885;0.948564770283444;0
3060;3739;2;3739;1.90585718106446;0.284250231536219;829;302.517422457269;0.0846649060453178;0
3061;3739;2;3739;1.85664616207542;0.268934410609165;649;1530.44765694284;0.104146161721916;0
3062;3739;2;3739;1.46884193634662;0.148239082651405;2237;1872.24583359824;0.512369562287347;0
3063;3739;2;3739;1.46884193634662;0.148239082651405;4066;1280.48385677905;0.954217316517906;0
3064;3739;2;3739;1.52901845413212;0.166967668024161;3773;2378.14914568348;0.861442683845139;0
3065;3739;2;3739;1.41749130783632;0.132257356466653;4258;1352.07582588908;1;0
3066;3739;2;3739;1.52955335651244;0.167134144338585;3565;1156.94161022569;0.838089396679815;0
3067;3739;2;3739;1.94650976196844;0.296902431432481;2315;5708.0157099854;0.511931228788724;0
3068;3739;2;3;2.03757828810021;0.325245458400398;283;1353.68200194013;0.0277978363724762;40044
3069;3739;2;3739;1.55897298742979;0.176290341631932;3729;626.785514252909;0.87823765793343;0
3070;3739;2;3739;1.41749130783632;0.132257356466653;4258;1352.07582588908;1;0
3071;3739;2;3739;1.48756351965766;0.154065753656262;3996;357.417231478192;0.942454441615388;0
3072;3739;2;3739;1.989836854774;0.310387012900865;2203;3251.9725193688;0.498368517505391;0
3073;3739;2;3;2.89732770745429;0.592823094862257;2191;7212.09311059082;0.498593604444479;0
3074;3739;2;3739;1.88232147633057;0.276925273701541;2638;2826.94265327496;0.546934510987211;0
3075;3739;2;3739;1.9023803155924;0.28316813549246;2483;2425.63521813084;0.530135251253866;0
3076;3739;2;3739;1.88232147633057;0.276925273701541;2340;2402.89115651979;0.484563525949725;0
3077;3739;2;3739;1.90157796202193;0.282918421020823;2422;3130.45595512176;0.497812915343215;0
3078;3739;2;3739;1.47793527681198;0.151069179996621;4032;1042.30209305074;0.948253708746091;0
3079;3739;2;3739;1.55897298742979;0.176290341631932;3729;626.785514252909;0.87823765793343;0
3080;3739;2;3739;1.47766782562182;0.150985941839409;4033;852.955986088885;0.948564770283444;0
3081;3739;2;3739;1.48462155656593;0.153150133926927;4007;1060.42046496601;0.944131798037936;0
3082;3739;2;3739;1.96202193099759;0.301730244550791;2289;3186.171248217;0.506304187580275;0
3083;3739;2;3739;1.41749130783632;0.132257356466653;4258;1352.07582588908;0.999999999999999;0
3084;3739;2;3739;1.52901845413212;0.166967668024161;2011;4774.74771871559;0.437971211200297;0
3085;3739;2;3;1.22284122562674;0.0716769038809729;2089;1604.11805769995;0.492012395037608;0
3086;3739;2;3739;1.56565926718374;0.178371295562239;1669;1270.87765938623;0.394354739326561;0
3087;3739;2;3739;1.46884193634662;0.148239082651405;2203;7736.15207800232;0.509129223572459;0
3088;3739;2;3739;1.41749130783632;0.132257356466653;3335;7893.36041980894;0.718487358973655;0
3089;3739;2;3739;1.90157796202193;0.282918421020823;2490;2477.79515578023;0.532281788515912;0
3090;3739;2;3739;1.48462155656593;0.153150133926927;2576;7397.92120773147;0.525630808544134;0
3091;3739;2;3739;1.47793527681198;0.151069179996621;2236;4644.61010026412;0.497584031585789;0
3092;3739;2;3739;1.95747526076491;0.300315195878183;388;2399.40918601233;0.0375070803874853;0
3093;3739;2;3739;1.41749130783632;0.132257356466653;4258;1352.07582588908;1;0
3094;3739;2;3739;1.989836854774;0.310387012900865;329;3289.09760200948;0.0305205076903796;0
3095;3739;2;3739;1.47793527681198;0.151069179996621;2071;2592.02448229279;0.484138588882826;0
3096;3739;2;3739;1.47793527681198;0.151069179996621;2646;7355.56985936138;0.539859781792732;0
3097;3739;2;3739;1.9023803155924;0.28316813549246;2415;3054.15122766822;0.49566637808117;0
3098;3739;2;3739;1.52901845413212;0.166967668024161;3841;1248.60282265308;0.895911557017836;0
3099;3739;2;3739;1.41749130783632;0.132257356466653;4258;1352.07582588908;1;0
3100;3739;2;3739;1.48167959347419;0.152234514197593;4018;809.857286601592;0.94599549531214;0
3101;3739;2;3739;1.47766782562182;0.150985941839409;2684;7190.68964021759;0.551196614251885;0
3102;3739;2;3739;1.41749130783632;0.132257356466653;2814;2250.44111246404;0.665787453436512;0
3103;3739;2;3739;1.87991441561915;0.276176130286631;636;2598.99308541182;0.0659765902547105;0
3104;3739;2;3739;1.56726397432469;0.178870724505512;2244;5369.65375813203;0.449439274327073;0
3105;3739;2;3739;1.41749130783632;0.132257356466653;3335;7893.36041980894;0.718487358973655;0
3106;3739;2;3739;1.47766782562182;0.150985941839409;4033;852.955986088885;0.948564770283444;0
3107;3739;2;3739;1.48462155656593;0.153150133926927;2166;5585.05199423541;0.483355058337192;0
3108;3739;2;3739;1.90157796202193;0.282918421020823;2192;2099.93264807524;0.469910803478426;0
3109;3739;2;3739;1.48221449585451;0.152400990512017;4016;782.297973881454;0.945658023831028;0
3110;3739;2;3739;1.95587055362396;0.299815766934909;2206;2591.66401238423;0.47276145118985;0
3111;3739;2;3739;1.97325488098422;0.305226247153706;2172;8440.03872734491;0.468115343258064;0
3112;3739;2;3739;1.88232147633057;0.276925273701541;694;216.283632819805;0.0753865209830651;0
3113;3739;2;3739;1.47766782562182;0.150985941839409;2204;5206.24001431851;0.500713618707672;0
3114;3739;2;3739;1.52901845413212;0.166967668024161;1826;1491.82136413183;0.421062742192963;0
3115;3739;2;3739;1.56833377908532;0.179203677134361;3694;212.049085672435;0.872699820125001;0
3116;3739;2;3739;1.41749130783632;0.132257356466653;4258;1352.07582588908;1;0
3117;3739;2;3739;1.47793527681198;0.151069179996621;2646;7355.56985936138;0.539859781792732;0
3118;3739;2;3739;1.47793527681198;0.151069179996621;2659;8287.65693782778;0.543786965830988;0
3119;3739;2;3739;1.48569136132656;0.153483086555776;3935;2008.28316587888;0.909068059972419;0
3120;3739;2;3739;1.41749130783632;0.132257356466653;4258;1352.07582588908;0.999999999999999;0
3121;3739;2;3739;1.41749130783632;0.132257356466653;4258;1352.07582588908;1;0
3122;3739;2;3739;1.48167959347419;0.152234514197593;3950;2083.24843819895;0.911526622139444;0
3123;3739;2;3;2.02710243124751;0.321985083977971;729;903.30849753428;0.07932157156442;0
3124;3739;2;3;1.91893180734382;0.288319414391944;194;525.094157296556;0.0206943253836382;0
3125;3739;2;3;2.04874274661509;0.328720144575856;2417;2022.48433992896;0.52413309325293;0
3126;3739;2;3739;1.85878577159668;0.269600315866863;2540;3119.05780881322;0.545666422445307;0
3127;3739;2;3739;1.48649371489703;0.153732801027413;2082;825.807095916095;0.477561676048919;0
3128;3739;2;3739;1.90585718106446;0.284250231536219;2386;2789.46442114899;0.493827957241156;0
3129;3739;2;3739;1.52955335651244;0.167134144338585;1844;5341.11943000264;0.418947877857198;0
3130;3739;2;3739;1.48221449585451;0.152400990512017;4016;782.297973881454;0.945658023831028;0
3131;3739;2;3739;1.85985557635731;0.269933268495712;1144;5975.73495747413;0.153956510878597;0
3132;3739;2;3739;1.56860123027547;0.179286915291573;3395;11.7717862301395;0.810068925741976;0
3133;3739;2;3739;1.48649371489703;0.153732801027413;3932;1735.90680450307;0.908619603144025;0
3134;3739;2;3;1.28565768621236;0.0912271119718697;1958;6936.68524481552;0.440520983360902;0
3135;3739;2;3739;1.48756351965766;0.154065753656262;2138;4225.19461608295;0.478207729904517;0
3136;3739;2;3739;1.51778550414549;0.163471665421246;2103;5141.80951023275;0.45418547740599;0
3137;3739;2;3739;1.94731211553891;0.297152145904117;2013;4908.72751847794;0.4474394711117;0
3138;3739;2;3;1.20960502692998;0.0675574352505909;2011;4774.74771871559;0.437971211200297;0
3139;3739;2;3739;2.00909334046537;0.316380160220147;2173;4722.22336047827;0.496385445524279;0
3140;3739;2;3739;1.48649371489703;0.153732801027413;4000;537.929375957769;0.943080878826242;0
3141;3739;2;3739;1.95694035838459;0.300148719563758;2266;1986.42108947824;0.506025890749021;0
3142;3739;2;3739;1.53196041722386;0.167883287753495;3762;2264.30377634127;0.859731511757433;0
3143;3739;2;3739;1.567798876705;0.179037200819937;3696;267.336127017234;0.872835778167584;0
3144;3739;2;3;1.24850042844901;0.0796627526528601;1908;902.231951153917;0.426455815353043;0
3145;3739;2;3739;1.90585718106446;0.284250231536219;654;1443.436448546;0.0692231408696223;0
3146;3739;2;3739;1.46884193634662;0.148239082651405;4066;1280.48385677905;0.954217316517906;0
3147;3739;2;3739;1.55897298742979;0.176290341631932;2337;5806.96014403781;0.468208105369666;0
3148;3739;2;3739;1.48916822679861;0.154565182599536;3692;111.255090237515;0.879166588122445;0
3149;3739;2;3739;1.85878577159668;0.269600315866863;1014;5215.37999091931;0.139906193569864;0
3150;3739;2;3739;1.56833377908532;0.179203677134361;3694;212.049085672435;0.872699820125;0
3151;3739;2;3739;1.47793527681198;0.151069179996621;2323;4599.36544354087;0.510285535894827;0
3152;3739;2;3739;1.48783097084782;0.154148991813474;2135;4156.76117922994;0.477646989072793;0
3153;3739;2;3739;1.90719443701524;0.28466642232228;2144;1979.18320442487;0.463609057011913;0
3154;3739;2;3739;1.41749130783632;0.132257356466653;2756;1681.44779589702;0.65950008885137;0
3155;3739;2;3739;1.41749130783632;0.132257356466653;4258;1352.07582588908;1;0
3156;3739;2;3739;1.93902112864402;0.294571763030538;2412;3194.98061539248;0.520182529804044;0
3157;3739;2;3739;1.41749130783632;0.132257356466653;4190;2834.7680423454;0.965531126827302;0
3158;3739;2;3739;1.41749130783632;0.132257356466653;4258;1352.07582588908;1;0
3159;3739;2;3739;1.41749130783632;0.132257356466653;4258;1352.07582588908;1;0
3160;3739;2;3739;1.47766782562182;0.150985941839409;3965;2262.40721197344;0.914095897110748;0
3161;3739;2;3739;1.47766782562182;0.150985941839409;2684;7190.68964021759;0.551196614251885;0
3162;3739;2;3739;1.52794864937149;0.166634715395312;3845;1441.24360222064;0.896318255909627;0
3163;3739;2;3739;1.87991441561915;0.276176130286631;1065;1063.79412966144;0.110211587457062;0
3164;3739;2;3739;1.85611125969511;0.268767934294741;2642;3631.0796141157;0.584560767813935;0
3165;3739;2;3739;1.41749130783632;0.132257356466653;4258;1352.07582588908;1;0
3166;3739;2;3739;1.41749130783632;0.132257356466653;2925;5464.11699800535;0.676211608766712;0
3167;3739;2;3739;1.41749130783632;0.132257356466653;2890;1391.93504504335;0.676446679158933;0
3168;3739;2;3739;1.41749130783632;0.132257356466653;4258;1352.07582588908;0.999999999999999;0
3169;3739;2;3739;1.82963359186948;0.260527356730728;2729;6969.36250810158;0.556542524389212;0
3170;3739;2;3;1.91140642303433;0.285977308073903;386;5089.78363039425;0.0368088373773291;0
3171;3739;2;3739;1.93902112864402;0.294571763030538;427;1689.66284287679;0.0419103646588318;0
3172;3739;2;3;1.28320239431351;0.0904629576865275;2068;4459.23416154353;0.470000484567247;0
3173;3739;2;3739;1.51778550414549;0.163471665421246;2103;5141.80951023275;0.45418547740599;0
3174;3739;2;3;1.20397350993377;0.0658047524646322;2103;5141.80951023275;0.45418547740599;0
3175;3739;2;3739;1.47766782562182;0.150985941839409;2204;5206.24001431851;0.500713618707672;0
3176;3739;2;3739;1.96683605242043;0.303228531380612;200;841.348732909812;0.0181784467554882;40397
3177;3739;2;3739;1.47766782562182;0.150985941839409;2204;978.956028199853;0.505220883855808;0
3178;3739;2;3739;1.41749130783632;0.132257356466653;2890;1391.93504504335;0.676446679158933;0
3179;3739;2;3739;1.41749130783632;0.132257356466653;4258;1352.07582588908;0.999999999999999;0
3180;3739;2;3739;1.47766782562182;0.150985941839409;2274;5061.24123424455;0.508920864044942;0
3181;3739;2;3739;1.56565926718374;0.178371295562239;3704;402.083997503155;0.874065299714919;0
3182;3739;2;3739;1.9023803155924;0.28316813549246;2483;2425.63521813084;0.530135251253866;0
3183;3739;2;3739;1.48515645894624;0.153316610241352;4005;519.771903978102;0.943891263876166;0
3184;3739;2;3;1.85282522996058;0.267745231574722;564;2892.83318797668;0.0589464287054799;0
3185;3739;2;3;1.13970912296166;0.0458039099079853;2179;5483.96219585012;0.493303970286775;0
3186;3739;2;3739;1.90157796202193;0.282918421020823;984;716.774038334374;0.102324042781384;0
3187;3739;2;3739;1.46884193634662;0.148239082651405;4066;1280.48385677905;0.954217316517906;0
3188;3739;2;3739;1.47766782562182;0.150985941839409;4033;852.955986088885;0.948564770283444;0
3189;3739;2;3739;2.00534902380316;0.315214826019175;2163;5736.70463509083;0.494840846240082;0
3190;3739;2;3739;1.51778550414549;0.163471665421246;3883;1834.52337490028;0.902916197615709;0
3191;3739;2;3739;1.82829633591869;0.260111165944667;2670;8740.2929192662;0.523113475054499;0
3192;3739;2;3739;1.99010430596416;0.310470251058077;2201;3464.5824548301;0.498124659068735;0
3193;3739;2;3;1.85559717020391;0.268607935523137;383;825.482411490315;0.0412235632270528;0
3194;3739;2;3739;1.94945172506018;0.297818051161815;412;816.268488518069;0.044769035494929;0
3195;3739;2;3739;1.48702861727735;0.153899277341838;3930;1612.35689810748;0.908309626779061;0
3196;3739;2;3739;1.48649371489703;0.153732801027413;3932;1735.90680450307;0.908619603144025;0
3197;3739;2;3;1.22226720647773;0.0714982533536009;2048;1756.11241835448;0.47269911386487;0
3198;3739;2;3;2.18456078083407;0.370990447721295;294;851.114479384035;0.0307555780826004;25491
3199;3739;2;3739;1.52794864937149;0.166634715395312;2093;4286.5762279273;0.447372515281527;0
3200;3739;2;3739;1.55897298742979;0.176290341631932;1892;1155.91741391544;0.426167425554944;0
3201;3739;2;4;2.15772870662461;0.362639569155151;440;5964.71308877081;0.0435105268865308;0
3202;3739;2;3;1.20857699805068;0.0672374844235881;1743;1460.65785153363;0.400839053003695;0
3203;3739;2;3739;1.90799679058572;0.284916136793917;2438;2090.85282618691;0.526794438520492;0
3204;3739;2;3739;1.53089061246323;0.167550335124646;3834;1422.8569071041;0.894640706723121;0
3205;3739;2;3739;1.96683605242043;0.303228531380612;788;5688.64042500239;0.0778268237036512;0
3206;3739;2;3;2.66666666666667;0.521035042752662;270;623.491035942504;0.0276588537862259;0
3207;3739;2;3;1.24686192468619;0.079152805272472;1915;3350.95406667998;0.418097825282608;0
3208;3739;2;3;1.73021582733813;0.229585817420812;320;56.6499020759767;0.032265788947323;45298
3209;3739;2;3739;1.56753142551484;0.178953962662724;1760;3948.61377146063;0.398077338322066;0
3210;3739;2;3739;1.96951056432201;0.304060912952734;2233;2944.40869561171;0.500908971230789;0
3211;3739;2;3739;1.88232147633057;0.276925273701541;764;3617.25951244599;0.0790865011721992;0
3212;3739;2;3739;1.96202193099759;0.301730244550791;2289;3186.171248217;0.506304187580275;0
3213;3739;2;3739;1.48649371489703;0.153732801027413;4000;537.929375957769;0.943080878826242;0
3214;3739;2;3739;1.95480074886333;0.29948281430606;819;2592.65369796905;0.0817317735159138;0
3215;3739;2;3739;1.82642417758759;0.259528498844181;1265;7588.68210564393;0.131976566732316;0
3216;3739;2;3739;1.48622626370687;0.153649562870201;2561;6341.61589522202;0.522971414580325;0
3217;3739;2;3;1.07029598308668;0.0242006340126708;1919;4937.02880896509;0.424405126565016;0
3218;3739;2;3;1.14578689255461;0.0476954787605296;2136;4301.65990622115;0.477661067467379;0
3219;3739;2;3739;1.90826424177588;0.284999374951129;2436;2147.93203973226;0.526239104523246;0
3220;3739;2;3739;1.48783097084782;0.154148991813474;3995;331.664024729496;0.942309196561602;0
3221;3739;2;3739;2.00909334046537;0.316380160220147;264;957.667920236929;0.0287725061014882;57071
3222;3739;2;3739;1.48756351965766;0.154065753656262;2548;6325.15564822346;0.52048348011146;0
3223;3739;2;3739;1.9930462690559;0.311385870787412;2109;3997.07271992576;0.461581138549414;0
3224;3739;2;3739;1.53249531960417;0.16804976406792;1852;1681.10714104407;0.41738608200495;0
3225;3739;2;3739;2.00909334046537;0.316380160220147;2105;5154.74926636087;0.461916572351582;0
3226;3739;2;3739;1.85771596683605;0.269267363238014;2626;3506.7138883749;0.582476338809396;0
3227;3739;2;3739;1.95667290719444;0.300065481406546;2268;1972.11160853526;0.506070001517689;0
3228;3739;2;3739;2.06873495587055;0.334942269278478;1876;1590.08481985529;0.43490932833808;0
3229;3739;2;3;2.1062578748425;0.346620432410251;718;4768.12750233684;0.0687570690249982;0
3230;3739;2;3;1.27001356852103;0.0863582328052839;583;3060.0763860004;0.0998042889915891;0
3231;3739;2;3739;1.52794864937149;0.166634715395312;1831;1386.36969423365;0.420946535446159;0
3232;3739;2;3;2.26960784313725;0.397459429737248;839;2816.84226847042;0.0840642244968807;0
3233;3739;2;3739;1.97325488098422;0.305226247153706;296;1228.95018181823;0.0310362264266153;0
3234;3739;2;3739;1.97191762503343;0.304810056367644;2214;2750.91729184848;0.499264290560752;0
3235;3739;2;3739;1.53089061246323;0.167550335124646;1793;1490.81794846094;0.413247326534842;0
